original_title,release_date,genre,revenue,runtime,vote_average
Assassins,8/12/2021,['Documentary'],0,104,6.3
Tierra eterna,10/29/2021,['Drama'],0,7,0.0
The War Below,9/10/2021,"['War', 'Drama', 'History']",0,97,6.9
Un Cumpleaños Muy Kally,7/30/2021,"['Music', 'Family', 'TV Movie', 'Romance']",0,100,7.9
Il Divin Codino,5/26/2021,['Drama'],0,91,6.5
Tundra,11/7/2021,"['Fantasy', 'Drama', 'Horror', 'Mystery', 'Romance', 'Science Fiction']",0,30,0.0
Don't Look Up,12/10/2021,"['Comedy', 'Drama', 'Science Fiction']",0,145,0.0
Bram Stoker's Van Helsing,3/29/2021,['Horror'],0,86,6.0
Open by Christmas,11/12/2021,"['TV Movie', 'Comedy', 'Romance']",0,84,0.0
Lioness: The Nicola Adams Story,11/12/2021,['Documentary'],0,0,0.0
Doors,3/23/2021,['Science Fiction'],0,84,5.0
COVID-19: Invasion,10/31/2021,"['Thriller', 'Action']",0,0,0.0
Llámenme Puta,11/11/2021,[],0,11,0.0
ARCANE,4/19/2021,[],0,7,0.0
Ride or Die,2/9/2021,"['Crime', 'Drama', 'Romance']",,0,5.7
Pitbull,11/11/2021,"['Action', 'Crime', 'Drama']",0,0,0.0
7 Prisioneiros,11/11/2021,"['Drama', 'Crime']",0,93,0.0
Přání Ježíškovi,11/11/2021,"['Romance', 'Comedy']",0,0,0.0
My Christmas Family Tree,11/13/2021,"['TV Movie', 'Comedy', 'Romance']",0,84,0.0
Jungle Run,6/24/2021,"['Adventure', 'Action']",0,86,6.6
Christmas in My Heart,10/23/2021,"['TV Movie', 'Drama', 'Romance']",0,84,5.3
The Lost Girls,12/25/2021,"['Drama', 'Fantasy']",0,100,0.0
Virgen de San Juan,1/1/2021,['Drama'],0,0,7.8
Juice WRLD: Into the Abyss,11/12/2021,"['Documentary', 'Music']",0,115,0.0
13 Fanboy,10/22/2021,['Horror'],0,99,5.9
악인은 너무 많다 2: 제주 실종사건의 전말,11/11/2021,['Thriller'],0,0,0.0
Budiž voda,11/11/2021,['Documentary'],0,0,0.0
Pups Alone,11/19/2021,"['Comedy', 'Family']",0,107,0.0
19-Mar,11/11/2021,['Drama'],0,120,0.0
Breaking Boundaries: The Science of Our Planet,6/4/2021,['Documentary'],0,73,7.2
Crazy Tsunami,7/16/2021,['Drama'],0,78,4.5
幾多の北,11/6/2021,['Animation'],0,64,2.0
South Park: Post COVID,11/25/2021,"['Animation', 'Comedy']",0,0,0.0
Windstill,11/11/2021,['Drama'],0,115,0.0
West Side Story,12/8/2021,"['Drama', 'Romance', 'Crime']",0,156,0.0
Sola,11/4/2021,['Drama'],0,0,0.0
An Autumn Romance,5/7/2021,"['Romance', 'Drama']",0,88,8.1
Pintu Surga Terakhir,11/11/2021,"['Drama', 'Comedy', 'Family', 'Romance']",0,0,0.0
Nothing to Hide,11/11/2021,[],0,15,0.0
Audible,4/29/2021,['Documentary'],0,39,6.3
This Day’s Madness did prepare Tomorrow’s Silence,11/11/2021,[],0,77,0.0
South of Heaven,10/8/2021,"['Crime', 'Thriller', 'Drama']",0,120,6.1
Night at the Eagle Inn,10/8/2021,"['Horror', 'Mystery']",0,70,5.0
Perinbaba a dva svety,11/11/2021,"['Family', 'Fantasy']",0,0,0.0
劇場版 抱かれたい男1位に脅されています。～スペイン編～,10/9/2021,"['Animation', 'Drama', 'Comedy']",0,0,1.3
Night of the Animated Dead,9/21/2021,"['Animation', 'Horror']",0,70,6.7
In the Same Breath,1/28/2021,['Documentary'],0,98,6.8
The Devil Below,3/5/2021,"['Horror', 'Thriller']",0,89,5.3
La Civil,7/8/2021,['Drama'],0,140,4.3
Gaia,6/18/2021,"['Horror', 'Fantasy', 'Drama']",0,97,5.9
Why Did You Kill Me?,4/14/2021,"['Documentary', 'Crime']",0,83,6.4
One December Night,11/13/2021,"['TV Movie', 'Comedy', 'Romance', 'Family']",0,84,0.0
Aida Rodriguez: Fighting Words,11/4/2021,['Comedy'],0,63,0.0
Mayor Pete,11/12/2021,['Documentary'],0,96,0.0
Sex: Unzipped,10/26/2021,['Comedy'],0,59,2.7
Go to Kill,11/11/2021,"['Comedy', 'Drama']",0,95,0.0
Finding the Werewolf,12/31/2021,[],0,90,0.0
Revealed: The Hunt for Bin Laden,5/2/2021,['Documentary'],0,86,2.0
Adrienne,11/14/2021,[],0,98,0.0
Mr. Saturday Night,11/13/2021,"['Documentary', 'Music']",0,83,0.0
Ted Bundy: American Boogeyman,8/16/2021,"['Thriller', 'Crime']",0,110,5.9
Sagan om Karl-Bertil Jonssons julafton,11/12/2021,[],0,0,0.0
IJswee,11/11/2021,['Documentary'],0,65,0.0
เกมล่าฆ่ารอด,11/11/2021,['Thriller'],0,107,0.0
La chica nueva,3/19/2021,['Drama'],0,80,6.7
Under the Helmet: The Legacy of Boba Fett,11/12/2021,['Documentary'],0,0,0.0
The Princess Switch 3: Romancing the Star,11/18/2021,"['Romance', 'Comedy']",0,106,0.0
Kevin Garnett: Anything is Possible,11/12/2021,['Documentary'],0,120,0.0
Perempuan Bergaun Merah,11/11/2021,['Horror'],0,0,0.0
A Boy Called Christmas,11/25/2021,"['Family', 'Fantasy']",0,106,0.0
14 Peaks: Nothing Is Impossible,11/12/2021,['Documentary'],0,99,0.0
Pražský výběr – Symphony Bizarre,11/11/2021,['Music'],0,0,0.0
Mad God,8/5/2021,"['Animation', 'Fantasy', 'Horror', 'Science Fiction']",0,83,6.8
Singing in Oblivion,11/11/2021,[],,,0.0
Never Back Down: Revolt,11/16/2021,"['Drama', 'Action']",0,90,0.0
Una escuela en Cerro Hueso,3/1/2021,['Drama'],0,70,4.0
왕십리 김종분,11/11/2021,['Documentary'],0,102,0.0
The Last Cruise,3/16/2021,['Documentary'],0,40,6.6
梅艷芳,11/12/2021,['Romance'],0,136,0.0
The Humans,11/24/2021,['Drama'],0,108,0.0
Squad,11/12/2021,[],0,0,0.0
The Spine of Night,10/29/2021,"['Animation', 'Fantasy', 'Action']",0,93,6.4
Framing Britney Spears,2/5/2021,"['Documentary', 'Music']",0,74,7.3
Megalodon!: Great White Godfather,10/19/2021,['Documentary'],0,66,0.0
Mothering Sunday,11/12/2021,"['Drama', 'Romance']",0,110,0.0
Dangerous Medicine,3/5/2021,"['Thriller', 'TV Movie']",0,0,7.2
Creating The Queen's Gambit,1/10/2021,"['Documentary', 'TV Movie']",0,14,7.9
Montford: The Chickasaw Rancher,11/1/2021,"['Western', 'Drama']",0,96,0.0
אסיה,4/1/2021,['Drama'],0,85,4.9
Tre nøtter til Askepott,11/12/2021,"['Family', 'Fantasy']",0,95,0.0
Anonymous,11/6/2021,['Drama'],0,96,0.0
A Picture Perfect Holiday,11/13/2021,"['TV Movie', 'Comedy', 'Romance', 'Family']",0,0,0.0
Chiatura,11/11/2021,[],0,16,0.0
Blodughadda,11/11/2021,[],0,0,0.0
Bruised,11/17/2021,['Drama'],0,132,0.0
Gabriel's Rapture,12/31/2021,['Romance'],0,106,0.0
Everybody's Talking About Jamie,9/10/2021,"['Drama', 'Comedy']",,,6.6
Harland Manor,10/29/2021,['Horror'],0,0,4.0
കുറുപ്പ്,11/12/2021,"['Thriller', 'Crime']",0,156,0.0
Past Continuous,11/11/2021,[],0,30,0.0
Жыве Беларусь,11/11/2021,['Animation'],0,8,0.0
Britney vs. Spears,9/27/2021,['Documentary'],0,93,7.2
Our Ladies,6/18/2021,"['Comedy', 'Drama']",0,100,7.4
If a Tree Falls in a Forest,11/11/2021,"['Documentary', 'Fantasy']",0,15,0.0
Amélie,11/11/2021,[],0,11,0.0
Cuernos rosas,11/11/2021,[],0,10,0.0
The Killing of Two Lovers,2/23/2021,['Drama'],0,84,6.7
Story City,11/11/2021,[],0,6,0.0
Coyote Creek Christmas,10/30/2021,"['TV Movie', 'Comedy', 'Romance']",,0,6.7
Loud Whisper,11/11/2021,[],0,20,0.0
Mlukhiye,11/11/2021,[],0,15,0.0
Hollows and Ducts,11/11/2021,[],0,15,0.0
Hyperland,11/8/2021,['Science Fiction'],,,0.0
Single Mother by Choice,11/2/2021,"['Comedy', 'Drama']",0,82,6.8
The Kalahari: The Flooded Desert,11/9/2021,['Documentary'],0,52,0.0
Cuidado con lo que deseas,11/12/2021,[],0,0,0.0
Descending the Mountain,11/11/2021,['Documentary'],0,0,0.0
Trimming the Fat,11/10/2021,[],0,0,0.0
Menstruar,11/11/2021,[],0,0,0.0
The Most Reluctant Convert: The Untold Story of C.S. Lewis,11/7/2021,"['Drama', 'History']",0,87,0.0
Ben Gen 10,4/10/2021,[],0,171,5.5
C'mon C'mon,11/19/2021,['Drama'],0,108,0.0
Les fantasmes,11/5/2021,"['Comedy', 'Romance']",0,102,2.0
Seaspiracy,3/24/2021,['Documentary'],0,89,8.0
Barbaque,9/10/2021,['Comedy'],0,87,7.1
Ternet Ninja 2,8/19/2021,"['Animation', 'Comedy']",0,0,6.1
Die in a Gunfight,7/1/2021,"['Action', 'Drama', 'Romance', 'Comedy', 'Crime']",0,92,5.3
Проклятый чиновник,6/24/2021,['Comedy'],0,0,4.7
Verdens verste menneske,10/13/2021,"['Comedy', 'Romance', 'Drama']",0,127,7.1
Les Animaux Anonymes,9/29/2021,"['Fantasy', 'Thriller']",0,64,4.5
Warrior Spirit,11/12/2021,['Documentary'],0,95,0.0
Tempo,11/24/2021,[],0,0,0.0
The House of Gaunt: Lord Voldemort Origins,9/15/2021,['Fantasy'],0,0,9.0
Multiverse,11/12/2021,"['Drama', 'Science Fiction']",0,93,0.0
DMX: Don't Try to Understand,11/13/2021,"['Documentary', 'Music']",0,79,0.0
Hockeyland,11/12/2021,['Documentary'],0,109,0.0
BUTTERSCOTCH.,11/11/2021,['Mystery'],0,6,0.0
Tan Poush,11/11/2021,[],0,13,0.0
Shang Shan,6/11/2021,[],0,0,0.0
Runt,10/1/2021,['Drama'],0,95,5.5
No consigo olvidarte,11/11/2021,[],0,5,0.0
Kinaara,11/11/2021,[],0,5,0.0
Dave Chappelle: The Closer,10/5/2021,['Comedy'],0,72,7.4
Attica,9/9/2021,['Documentary'],0,120,8.0
Abstract Eternalism,8/5/2021,[],0,0,0.0
Si on chantait,11/3/2021,['Music'],0,96,7.1
Superhost,8/14/2021,"['Thriller', 'Horror']",0,83,6.0
Weihnachten mit Jonas Kaufmann,11/11/2021,[],0,0,0.0
Looking for Barbara,11/11/2021,[],0,8,0.0
9/11: Inside the President's War Room,8/31/2021,"['Documentary', 'History']",0,89,6.9
Bigfoot Famous,11/2/2021,"['Comedy', 'Adventure']",0,89,4.8
The Trick,10/18/2021,['Thriller'],0,90,4.0
Лётчик,11/4/2021,"['War', 'Drama', 'History']",0,107,2.0
Honey Girls,10/19/2021,"['Music', 'Family']",0,90,4.3
Operation Varsity Blues: The College Admissions Scandal,3/17/2021,"['Documentary', 'Crime', 'Drama']",0,100,7.1
Koati,8/5/2021,"['Music', 'Animation']",0,85,3.5
UFC 268: Usman vs. Covington 2,11/6/2021,['Action'],,,2.0
